ADC_filtered,ADC_diff,current,charging_time,time
848, 848, 16, 8.00, 31806344
882, 34, 16, 8.00, 31829316
862, -20, 16, 8.00, 31842952
841, -21, 16, 8.00, 31856656
827, -14, 16, 8.00, 31870360
815, -12, 16, 8.00, 31883316
809, -6, 16, 8.00, 31895460
803, -6, 16, 8.00, 31907492
800, -3, 16, 8.00, 31919536
797, -3, 16, 8.00, 31931580
793, -4, 16, 8.00, 31943636
790, -3, 16, 8.00, 31955676
788, -2, 16, 8.00, 31967712
787, -1, 16, 8.00, 31979764
785, -2, 16, 8.00, 31991832
782, -3, 16, 8.00, 32003888
781, -1, 16, 8.00, 32018700
780, -1, 16, 8.00, 32030752
779, -1, 16, 8.00, 32042804
778, -1, 16, 8.00, 32054836
778, 0, 16, 8.00, 32066876
777, -1, 16, 8.00, 32078872
776, -1, 16, 8.00, 32090920
775, -1, 16, 8.00, 32102956
775, 0, 16, 8.00, 32114992
775, 0, 16, 8.00, 32126996
774, -1, 16, 8.00, 32138988
774, 0, 16, 8.00, 32151032
773, -1, 16, 8.00, 32163016
773, 0, 16, 8.00, 32175064
773, 0, 16, 8.00, 32187032
772, -1, 16, 8.00, 32199020
771, -1, 16, 8.00, 32211064
771, 0, 16, 8.00, 32223104
770, -1, 16, 8.00, 32237856
770, 0, 16, 8.00, 32249904
769, -1, 16, 8.00, 32261896
769, 0, 16, 8.00, 32273944
768, -1, 16, 8.00, 32285932
768, 0, 16, 8.00, 32297980
768, 0, 16, 8.00, 32309972
768, 0, 16, 8.00, 32321956
767, -1, 16, 8.00, 32333944
767, 0, 16, 8.00, 32345984
768, 1, 16, 8.00, 32357960
767, -1, 16, 8.00, 32369940
766, -1, 16, 8.00, 32381988
766, 0, 16, 8.00, 32394036
765, -1, 16, 8.00, 32406016
765, 0, 16, 8.00, 32418048
766, 1, 16, 8.00, 32430044
765, -1, 16, 8.00, 32442024
765, 0, 16, 8.00, 32456824
765, 0, 16, 8.00, 32468816
765, 0, 16, 8.00, 32480796
764, -1, 16, 8.00, 32492784
763, -1, 16, 8.00, 32504828
764, 1, 16, 8.00, 32516876
763, -1, 16, 8.00, 32528872
763, 0, 16, 8.00, 32540916
763, 0, 16, 8.00, 32552908
763, 0, 16, 8.00, 32564896
763, 0, 16, 8.00, 32576880
762, -1, 16, 8.00, 32588876
762, 0, 16, 8.00, 32600928
762, 0, 16, 8.00, 32612908
761, -1, 16, 8.00, 32624888
761, 0, 16, 8.00, 32636948
762, 1, 16, 8.00, 32648940
761, -1, 16, 8.00, 32660920
761, 0, 16, 8.00, 32675736
760, -1, 16, 8.00, 32687716
761, 1, 16, 8.00, 32699760
760, -1, 16, 8.00, 32711756
760, 0, 16, 8.00, 32723796
760, 0, 16, 8.00, 32735780
759, -1, 16, 8.00, 32747764
759, 0, 16, 8.00, 32759804
760, 1, 16, 8.00, 32771812
760, 0, 16, 8.00, 32783796
759, -1, 16, 8.00, 32795784
759, 0, 16, 8.00, 32807816
759, 0, 16, 8.00, 32819780
759, 0, 16, 8.00, 32848952
758, -1, 16, 8.00, 32875476
759, 1, 16, 8.00, 32887436
758, -1, 16, 8.00, 32899412
758, 0, 16, 8.00, 32911460
758, 0, 16, 8.00, 32926092
760, 2, 16, 8.00, 32938084
765, 5, 16, 8.00, 32950076
770, 5, 16, 8.00, 32962052
817, 47, 16, 8.00, 32974032
890, 73, 16, 8.00, 32986104
909, 19, 16, 8.00, 32998188
883, -26, 16, 8.00, 33010248
861, -22, 16, 8.00, 33022372
835, -26, 16, 8.00, 33034516
826, -9, 16, 8.00, 33046640
820, -6, 16, 8.00, 33058692
812, -8, 16, 8.00, 33070724
809, -3, 16, 8.00, 33082768
807, -2, 16, 8.00, 33094808
803, -4, 16, 8.00, 33106852
801, -2, 16, 8.00, 33118884
800, -1, 16, 8.00, 33130920
798, -2, 16, 8.00, 33145684
797, -1, 16, 8.00, 33157708
795, -2, 16, 8.00, 33169752
794, -1, 16, 8.00, 33181804
793, -1, 16, 8.00, 33193844
792, -1, 16, 8.00, 33205872
791, -1, 16, 8.00, 33217908
791, 0, 16, 8.00, 33229952
790, -1, 16, 8.00, 33241940
790, 0, 16, 8.00, 33253968
789, -1, 16, 8.00, 33265956
788, -1, 16, 8.00, 33278004
787, -1, 16, 8.00, 33290052
787, 0, 16, 8.00, 33302080
786, -1, 16, 8.00, 33314060
786, 0, 16, 8.00, 33326108
785, -1, 16, 8.00, 33338100
785, 0, 16, 8.00, 33350140
784, -1, 16, 8.00, 33364852
783, -1, 16, 8.00, 33376876
783, 0, 16, 8.00, 33388916
782, -1, 16, 8.00, 33400912
782, 0, 16, 8.00, 33412956
782, 0, 16, 8.00, 33424928
782, 0, 16, 8.00, 33436916
781, -1, 16, 8.00, 33448904
781, 0, 16, 8.00, 33460928
780, -1, 16, 8.00, 33472916
780, 0, 16, 8.00, 33484956
780, 0, 16, 8.00, 33496936
780, 0, 16, 8.00, 33508912
779, -1, 16, 8.00, 33520896
779, 0, 16, 8.00, 33532944
778, -1, 16, 8.00, 33544932
779, 1, 16, 8.00, 33556972
778, -1, 16, 8.00, 33568960
777, -1, 16, 8.00, 33583700
777, 0, 16, 8.00, 33595752
777, 0, 16, 8.00, 33607740
777, 0, 16, 8.00, 33619728
776, -1, 16, 8.00, 33631720
776, 0, 16, 8.00, 33643760
776, 0, 16, 8.00, 33655748
776, 0, 16, 8.00, 33667716
776, 0, 16, 8.00, 33679700
776, 0, 16, 8.00, 33691692
776, 0, 16, 8.00, 33703680
775, -1, 16, 8.00, 33715660
775, 0, 16, 8.00, 33727708
775, 0, 16, 8.00, 33739700
774, -1, 16, 8.00, 33751672
775, 1, 16, 8.00, 33763708
774, -1, 16, 8.00, 33775704
