ADC_filtered,ADC_diff,current,charging_time,time
669, 669, 16, 8.00, 26204952
668, -1, 16, 8.00, 26250624
669, 1, 16, 8.00, 26263976
668, -1, 16, 8.00, 26277564
669, 1, 16, 8.00, 26291228
669, 0, 16, 8.00, 26304848
669, 0, 16, 8.00, 26318472
669, 0, 16, 8.00, 26330476
669, 0, 16, 8.00, 26342496
669, 0, 16, 8.00, 26354508
669, 0, 16, 8.00, 26366508
669, 0, 16, 8.00, 26378508
668, -1, 16, 8.00, 26390532
669, 1, 16, 8.00, 26402600
669, 0, 16, 8.00, 26414536
669, 0, 16, 8.00, 26426552
669, 0, 16, 8.00, 26438496
669, 0, 16, 8.00, 26453212
669, 0, 16, 8.00, 26465216
669, 0, 16, 8.00, 26477208
669, 0, 16, 8.00, 26489208
669, 0, 16, 8.00, 26501224
669, 0, 16, 8.00, 26513168
669, 0, 16, 8.00, 26525176
669, 0, 16, 8.00, 26537184
669, 0, 16, 8.00, 26549196
669, 0, 16, 8.00, 26561124
669, 0, 16, 8.00, 26572996
669, 0, 16, 8.00, 26584932
669, 0, 16, 8.00, 26596856
669, 0, 16, 8.00, 26608732
669, 0, 16, 8.00, 26620620
669, 0, 16, 8.00, 26632628
669, 0, 16, 8.00, 26644636
669, 0, 16, 8.00, 26656572
669, 0, 16, 8.00, 26671220
669, 0, 16, 8.00, 26683164
669, 0, 16, 8.00, 26695032
669, 0, 16, 8.00, 26706984
669, 0, 16, 8.00, 26718992
669, 0, 16, 8.00, 26731008
669, 0, 16, 8.00, 26742944
669, 0, 16, 8.00, 26754892
668, -1, 16, 8.00, 26766824
669, 1, 16, 8.00, 26778820
669, 0, 16, 8.00, 26790756
670, 1, 16, 8.00, 26802616
669, -1, 16, 8.00, 26814504
669, 0, 16, 8.00, 26826436
669, 0, 16, 8.00, 26838372
669, 0, 16, 8.00, 26850392
669, 0, 16, 8.00, 26862404
669, 0, 16, 8.00, 26874336
669, 0, 16, 8.00, 26888888
669, 0, 16, 8.00, 26900892
669, 0, 16, 8.00, 26912844
669, 0, 16, 8.00, 26924784
669, 0, 16, 8.00, 26936716
669, 0, 16, 8.00, 26948664
669, 0, 16, 8.00, 26960612
668, -1, 16, 8.00, 26972480
669, 1, 16, 8.00, 26984472
669, 0, 16, 8.00, 26996484
669, 0, 16, 8.00, 27008484
669, 0, 16, 8.00, 27020488
669, 0, 16, 8.00, 27032496
669, 0, 16, 8.00, 27044496
669, 0, 16, 8.00, 27056500
668, -1, 16, 8.00, 27068524
669, 1, 16, 8.00, 27080576
668, -1, 16, 8.00, 27092572
669, 1, 16, 8.00, 27107292
669, 0, 16, 8.00, 27119284
669, 0, 16, 8.00, 27131288
669, 0, 16, 8.00, 27143160
669, 0, 16, 8.00, 27155180
669, 0, 16, 8.00, 27167184
668, -1, 16, 8.00, 27179124
668, 0, 16, 8.00, 27191192
668, 0, 16, 8.00, 27209868
669, 1, 16, 8.00, 27221876
669, 0, 16, 8.00, 27233804
669, 0, 16, 8.00, 27245808
669, 0, 16, 8.00, 27264516
668, -1, 16, 8.00, 27276392
668, 0, 16, 8.00, 27288376
669, 1, 16, 8.00, 27300300
668, -1, 16, 8.00, 27312236
669, 1, 16, 8.00, 27324220
669, 0, 16, 8.00, 27336220
669, 0, 16, 8.00, 27350972
668, -1, 16, 8.00, 27362904
669, 1, 16, 8.00, 27374964
669, 0, 16, 8.00, 27386908
669, 0, 16, 8.00, 27398856
668, -1, 16, 8.00, 27410788
669, 1, 16, 8.00, 27422792
669, 0, 16, 8.00, 27434664
669, 0, 16, 8.00, 27446672
669, 0, 16, 8.00, 27458620
669, 0, 16, 8.00, 27470564
668, -1, 16, 8.00, 27482500
669, 1, 16, 8.00, 27494496
669, 0, 16, 8.00, 27506440
669, 0, 16, 8.00, 27518388
669, 0, 16, 8.00, 27530260
669, 0, 16, 8.00, 27542268
668, -1, 16, 8.00, 27554140
668, 0, 16, 8.00, 27568844
669, 1, 16, 8.00, 27580712
669, 0, 16, 8.00, 27592656
669, 0, 16, 8.00, 27604576
668, -1, 16, 8.00, 27616520
669, 1, 16, 8.00, 27628512
669, 0, 16, 8.00, 27640376
668, -1, 16, 8.00, 27652248
669, 1, 16, 8.00, 27664168
668, -1, 16, 8.00, 27676028
669, 1, 16, 8.00, 27688036
669, 0, 16, 8.00, 27699908
669, 0, 16, 8.00, 27711844
668, -1, 16, 8.00, 27723720
